teamplaceCodigo,nombre,destino,skuAnterior,skuNuevo
"N030063","PELADORA .500 NACIONAL",#HER-TOOL,#REV-TAN-0448,#HER-TOOL-0146
"030067","peladora de vaina acs/acs-2 de 5,32""-25,64""",#HER-TOOL,#REV-TAN-0604,#HER-TOOL-0147
"N030195","BOMBA VACIO 70 LTS/M",#HER-TOOL,#REV-TAN-0047,#HER-TOOL-0148
"N030198","MANOMETRO/MANIFOLD CUERPO DE BRONCE",#HER-TOOL,#REV-TAN-0360,#HER-TOOL-0149
"030184","BUSCAPOLO SIN CONTACTO - VIRU-VIRU",#HER-TOOL,#REV-TAN-0068,#HER-TOOL-0150
"N030400","CORTA VIDRIO",#HER-TOOL,#REV-TAN-0176,#HER-TOOL-0151
"N030089","ZAPATA MOVIL P/ESC. EXTEN. NACIONAL",#HER-TOOL,#REV-TAN-0600,#HER-TOOL-0152
"N030312","MESA PLEGABLE PARA FUSIONAR",#HER-INS,#REV-TAN-0376,#HER-INS-0043
"N081073","BARBIJO DESCARTABLES",#HER-EPP,#REV-TAN-0035,#HER-EPP-0014
"N080957","BOTIN DE SEGURIDAD (PAR)",#HER-EPP,#REV-TAN-0053,#HER-EPP-0015
"N080108","GAFAS OSCURAS DE SEGURIDAD",#HER-EPP,#REV-TAN-0276,#HER-EPP-0016
"N030095","Antiparras FRAVIDA NACIONAL",#HER-EPP,#REV-TAN-0032,#HER-EPP-0017
"N080868","DELANTAL CUERO DESCARNE",#HER-EPP,#REV-TAN-0202,#HER-EPP-0018
"N030325","VIDRIO OSCURO MASCARA SOLDAR",#HER-EPP,#REV-TAN-0594,#HER-EPP-0019
"N030326","VIDRIO TRANSPARENTE MASCARA SOLDAR",#HER-EPP,#REV-TAN-0595,#HER-EPP-0020
"N081071","ELEMENTO DE AMARRE CODIGO 1015",#HER-EPP,#REV-TAN-0227,#HER-EPP-0021
"N081066","ELEMENTO DE AMARRE ANTICAIDA 3008/2",#HER-EPP,#REV-TAN-0226,#HER-EPP-0022
"N081065","ELEMENTO DE AMARRE ANTICAIDA 3001/2",#HER-EPP,#REV-TAN-0225,#HER-EPP-0023
"N081064","ELEMENTO DE AMARRE 1004",#HER-EPP,#REV-TAN-0224,#HER-EPP-0024
"N080965","MATAFUEGOS",#HER-SEG,#REV-TAN-0372,#HER-SEG-0001
"N081072","BOTIQUIN",#HER-SEG,#REV-TAN-0054,#HER-SEG-0002
"030145","CONO SEGURIDAD VIAL",#HER-SEG,#REV-TAN-0156,#HER-SEG-0003
"N080107","BANDERA DE PELIGRO",#HER-SEG,#REV-TAN-0034,#HER-SEG-0004
"N081171","TOTEM DE EMERGENCIA",#HER-SEG,#REV-TAN-0573,#HER-SEG-0005
"N080888","TIRAFONDO N°10",#INS-FIJ,#REV-TAN-0567,#INS-FIJ-0059
"N081030","TIRAFONDO",#INS-FIJ,#REV-TAN-0566,#INS-FIJ-0060
"N080928","REMACHE POP",#INS-FIJ,#REV-TAN-0517,#INS-FIJ-0061
"N081164","VARILLA ROSCADA",#INS-FIJ,#REV-TAN-0590,#INS-FIJ-0062
"PASACABLESP","PASACABLE PLASTICO",#INS-FIJ,#REV-TAN-0442,#INS-FIJ-0063
"N080940","FILM STRETCH SIN CONO",#INS-CONS,#REV-TAN-0259,#INS-CONS-0030
"N081163","FILM STRETCH 10cm",#INS-CONS,#REV-TAN-0258,#INS-CONS-0031
"N080828","ESTOPA",#INS-CONS,#REV-TAN-0240,#INS-CONS-0032
